"id","titulo","descricao","videoURL"
"36","NÃO DEIXE DE VACINAR: VACINAS SALVAM VIDAS","Neste sábado, 15 de abril, acontece mais uma Campanha de Vacinação Contra a Gripe Influenza. É muito importante, em especial, para crianças a partir de 6 meses e idosos, serem vacinadas. A campanha acontece das 8 às 17 horas em todas ESFs do município. Leve um documento e o Cartão de Vacinação. 
#maissaude
#seproteja
#vacinassalvamvidas
#Deusnocomandosempre","https://www.youtube.com/watch?v=Np9w5LIAE3s"
"37","PROGRAMA MORAR BEM CONTEMPLA MAIS UMA FAMÍLIA","Na tarde de ontem, quinta-feira, 13 de abril, o prefeito – Sérgio Cóxa e o vice-prefeito – Leandro Pineis, entregaram no bairro Jd. Assis Simplício, mais uma moradia do Programa Morar Bem. Foi mais um momento emocionante.
#maismoradia
#programamorarbem
#governohumano
#governoeficiente
#compromisso
#responsabilidade
#Deusnocomandosempre","https://www.youtube.com/watch?v=GmDB3BrkDr4"
"38","GOVERNO FOMENTA CAPACITAÇÃO DOS SERVIDORES DA ADMINISTRAÇÃO","Visando uma gestão mais eficiente e planejada administrativamente, de acordo com as determinações das leis que regem a administração pública, o governo de Fronteira iniciou o processo de capacitação do servidores, trazendo para o município uns dos melhores especialistas em gestão pública de Minas Gerais - Milton Botelho. 
Por dois dias, o especialista abordou diversos assuntos sobre gestão pública","https://www.youtube.com/watch?v=5LPXxPCplsw"
"39","PREFEITO SOLICITA AO GOVERNO DE MINAS IMPLANTAÇÃO DE POSTO PARA EMISSÃO DE IDENT","O prefeito – Sérgio Cóxa durante encontro agendado com a chefe da Polícia Civil de Minas Gerais – Dra. Leticia Batista, em Belo Horizonte, solicitou aumento do contingente de investigadores da PC no município, além de mutirão e posto fixo de emissão de documento de Identidade. 
O prefeito aproveitou a ocasião para convidar a chefe da PC de Minas para participar da cerimônia de inauguração da nova ","https://www.youtube.com/watch?v=Km1M9Nr-uRI"
"40","DELEGADO REGIONAL VISITA NOVA ESTRUTURA DA DELEGACIA DE FRONTEIRA","Nesta quarta-feira, 3 de maio, o delegado regional da Polícia Civil - Dr. Dimer de Toledo Ribeiro, acompanhado do delegado de Fronteira - Dr. Bruno Salmen, visitou a nova estrutura da delegacia do município. Na ocasião, o prefeito - Sérgio Cóxa, que estava acompanhado do secretário de Administração - Daniel Fonseca, definiu junto com as autoridades da PC e do presidente do Consep - Adalberto de Li","https://www.youtube.com/watch?v=HcLvUQdshxM"
"41","PREFEITO EFETIVA DOAÇÃO DE TERRENO PARA O TJMG CONSTRUIR O FÓRUM DE FRONTEIRA","Mais um momento histórico para o município. Nesta quinta-feira, 18 de maio, o prefeito - Sérgio Cóxa, efetivou num Cartório em Belo Horizonte, a doação do terreno para o Tribunal de Justiça de Minas Gerais, onde será construído o Fórum da futura Comarca de Fronteira. Acompanharam o prefeito, como testemunhas desse grande ato, o presidente da Câmara - Zé Neto e o secretário de Obras - Bruno Reis.
#","https://www.youtube.com/watch?v=hdyRUEE2utg"
"42","✍️ ESSE É UM GOVERNO QUE DE FATO SE PREOCUPA E QUER SUA SAÚDE.","#academiadasaude
#saúdeparatodos
#Deusnocomandosempre","https://www.youtube.com/watch?v=GdvWD4Sp6TA"
"43","PROGRAMA MORAR BEM: GOVERNO DE FRONTEIRA ENTREGA MAIS UMA MORADIA NA VILA REIS","Na sexta-feira passada, 12 de maio, o prefeito - Sérgio Cóxa e o vice-prefeito - Leandro Pineis, entregaram mais uma moradia na Vila Reis.
Participaram da cerimônia, o presidente da Câmara - Zé Neto, os vereadores - Serginho, Moisés, Dunga e Angelita Marques, além de secretários e servidores do município. O momento, como sempre, emociona. 
#maismoradia
#governohumano
#casapropria 
#sonhorealizado","https://www.youtube.com/watch?v=CPj_vwWA0Xs"
"44","PROGRAMA MORAR BEM NÃO APENAS EMOCIONA, MAS, CONCRETIZA SONHOSPROGRAMA MORAR BEM","Na tarde de quinta-feira, 25 de maio, o prefeito - Sérgio Cóxa, juntamente com o vice-prefeito - Leandro Pineis, realizou o sonho de ter a casa própria de mais uma família fronteirense. 
A entrega de mais uma moradia, no bairro COHAB 2, que contou com a presença de secretários e assessores do governo, não apenas emocionou, mas, está transformando a vida de mais uma família.","https://www.youtube.com/watch?v=wu2nhHU5P4M"
"45","PROGRAMA MORAR BEM CONTINUA MUDANDO A VIDA DAS PESSOAS","Premiado pelo Estado, o Programa Morar Bem voltou a emocionar na semana passada.  Prefeito - Sérgio Cóxa se emociona ao entregar mais uma moradia no Jd. Assis Simplício. 
#programamorarbem
#maisdignidade
#justiçasocial
#governohumano
#Deusnocomandosempre","https://www.youtube.com/watch?v=ze0Up8-Mjvg"
"46","GOVERNO REALIZA CAMPANHA DE COMBATE AO ABUSO SEXUAL CONTRA CRIANÇAS E ADOLESCENT","MÊS QUE MARCA O COMBATE A EXPLORAÇÃO E ABUSO SEXUAL CONTRA CRIANÇAS E ADOLESCENTES, 18 DE MAIO, CONTOU COM UMA PROGRAMAÇÃO COM MUITA DIVERSÃO, PIPOCA, ALGODÃO DOCE E REFRIGERANTE. O EVENTO FOI REALIZADO NO DISTRITO SANTO ANTÔNIO (LAGOA SECA) E NO CREF, NA MANHÃ E TARDE DE DOMINGO, 21 DE MAIO.","https://www.youtube.com/watch?v=VVTbEOuFQYg"
